Graphene_percentage,FEED,RPM,DOC,MRR_gm_per_sec,Ra
0,100,1000,0.1,0.012697176,0.8213
0,100,1000,0.15,0.020326733,1.06545
0,100,1000,0.2,0.031002004,0.7516
0,100,2000,0.1,0.012719919,1.5206
0,100,2000,0.15,0.019913628,1.50215
0,100,2000,0.2,0.025933014,1.6637
0,100,3000,0.1,0.012041985,3.5514
0,100,3000,0.15,0.019638554,3.18485
0,100,3000,0.2,0.026577646,3.1448
0,150,1000,0.1,0.020857143,0.9493
0,150,1000,0.15,0.031477449,1.03245
0,150,1000,0.2,0.041844512,0.9606
0,150,2000,0.1,0.01919403,1.7421
0,150,2000,0.15,0.029495549,1.68165
0,150,2000,0.2,0.0407739,1.5442
0,150,3000,0.1,0.018897516,3.1509
0,150,3000,0.15,0.030725926,3.06035
0,150,3000,0.2,0.040805271,3.0408
0,200,1000,0.1,0.021449541,1.2728
0,200,1000,0.15,0.040742187,1.19295
0,200,1000,0.2,0.051809339,1.1686
0,200,2000,0.1,0.022934028,1.6196
0,200,2000,0.15,0.025,1.61565
0,200,2000,0.2,0.049577982,1.5777
0,200,3000,0.1,0.022992832,3.0704
0,200,3000,0.15,0.037388889,3.01635
0,200,3000,0.2,0.053762183,3.0353
0.5,100,1000,0.1,0.002702439,1.59395
0.5,100,1000,0.15,0.018030457,0.8913375
0.5,100,1000,0.2,0.027698945,1.095725
0.5,100,2000,0.1,0.00913,1.924
0.5,100,2000,0.15,0.025005015,1.6742875
0.5,100,2000,0.2,0.027752475,1.696575
0.5,100,3000,0.1,0.012154309,3.36655
0.5,100,3000,0.15,0.022745491,3.3732375
0.5,100,3000,0.2,0.027775531,3.407925
0.5,150,1000,0.1,0.011850153,1.8097125
0.5,150,1000,0.15,0.030607903,1.6386
0.5,150,1000,0.2,0.0395,1.9584875
0.5,150,2000,0.1,0.017811159,2.2157625
0.5,150,2000,0.15,0.032055394,1.94605
0.5,150,2000,0.2,0.034911243,1.8323375
0.5,150,3000,0.1,0.021546547,4.0033125
0.5,150,3000,0.15,0.03325228,4.1555
0.5,150,3000,0.2,0.039816514,3.1916875
0.5,200,1000,0.1,0.027817531,2.472475
0.5,200,1000,0.15,0.046967071,2.6838625
0.5,200,1000,0.2,0.050017637,2.47525
0.5,200,2000,0.1,0.022857143,1.877025
0.5,200,2000,0.15,0.034029304,1.9488125
0.5,200,2000,0.2,0.050721248,1.8206
0.5,200,3000,0.1,0.028691589,3.388075
0.5,200,3000,0.15,0.029565217,3.4232625
0.5,200,3000,0.2,0.074280576,3.19495
1,100,1000,0.1,0.014246842,1.3034
1,100,1000,0.15,0.020028763,1.133025
1,100,1000,0.2,0.023861386,1.16365
1,100,2000,0.1,0.016753623,1.8377
1,100,2000,0.15,0.019243781,1.828225
1,100,2000,0.2,0.025270541,2.06975
1,100,3000,0.1,0.014600985,3.6925
1,100,3000,0.15,0.019179179,3.606925
1,100,3000,0.2,0.024680203,3.27585
1,150,1000,0.1,0.021504559,2.055925
1,150,1000,0.15,0.026997085,1.54755
1,150,1000,0.2,0.038088889,1.585675
1,150,2000,0.1,0.021130186,2.068725
1,150,2000,0.15,0.023838235,1.83725
1,150,2000,0.2,0.040311573,1.879275
1,150,3000,0.1,0.020515933,3.698525
1,150,3000,0.15,0.030149254,3.54845
1,150,3000,0.2,0.041320475,3.531375
1,200,1000,0.1,0.015585938,1.97545
1,200,1000,0.15,0.042279693,2.215575
1,200,1000,0.2,0.052348754,1.8687
1,200,2000,0.1,0.018096886,1.79625
1,200,2000,0.15,0.038608059,1.995275
1,200,2000,0.2,0.046666667,1.9553
1,200,3000,0.1,0.022490909,3.56605
1,200,3000,0.15,0.033825137,3.529475
1,200,3000,0.2,0.054288499,3.5289
2,100,1000,0.1,0.012582524,1.0827
2,100,1000,0.15,0.01975048,1.1043
2,100,1000,0.2,0.02682,1.2499
2,100,2000,0.1,0.013289474,1.886
2,100,2000,0.15,0.021437186,2.3045
2,100,2000,0.2,0.0225,2.909
2,100,3000,0.1,0.012739726,3.6418
2,100,3000,0.15,0.01884466,3.3432
2,100,3000,0.2,0.027615764,3.4786
2,150,1000,0.1,0.015804598,1.42175
2,150,1000,0.15,0.027540501,1.57685
2,150,1000,0.2,0.041246201,2.30595
2,150,2000,0.1,0.016531532,2.01955
2,150,2000,0.15,0.030437956,1.90055
2,150,2000,0.2,0.035997089,1.86805
2,150,3000,0.1,0.022217454,3.62685
2,150,3000,0.15,0.029759398,3.46675
2,150,3000,0.2,0.037048458,3.33815
2,200,1000,0.1,0.023871528,2.4138
2,200,1000,0.15,0.038378906,2.1399
2,200,1000,0.2,0.054206501,3.127
2,200,2000,0.1,0.016146953,1.8071
2,200,2000,0.15,0.037504587,2.3301
2,200,2000,0.2,0.044409594,1.9571
2,200,3000,0.1,0.025215827,3.3439
2,200,3000,0.15,0.033144876,3.4023
2,200,3000,0.2,0.04859375,3.3152
3,100,1000,0.1,0.012832031,0.7757
3,100,1000,0.15,0.019472169,0.762275
3,100,1000,0.2,0.025990099,0.92535
3,100,2000,0.1,0.011779904,1.563
3,100,2000,0.15,0.016168831,1.517475
3,100,2000,0.2,0.027107107,1.51895
3,100,3000,0.1,0.011712259,3.6288
3,100,3000,0.15,0.020068426,3.266675
3,100,3000,0.2,0.023461538,3.22705
3,150,1000,0.1,0.021984848,1.231275
3,150,1000,0.15,0.027759398,1.12085
3,150,1000,0.2,0.036944046,1.238425
3,150,2000,0.1,0.019605839,1.602075
3,150,2000,0.15,0.028076923,1.66905
3,150,2000,0.2,0.036941529,1.666525
3,150,3000,0.1,0.01933526,3.269875
3,150,3000,0.15,0.028231707,3.32625
3,150,3000,0.2,0.041664099,3.274625
3,200,1000,0.1,0.020071942,1.60835
3,200,1000,0.15,0.033698384,1.465425
3,200,1000,0.2,0.049980469,1.659
3,200,2000,0.1,0.023143382,1.69365
3,200,2000,0.15,0.041111111,1.747625
3,200,2000,0.2,0.050601942,1.7366
3,200,3000,0.1,0.021909722,3.27295
3,200,3000,0.15,0.038930481,3.283325
3,200,3000,0.2,0.04725,3.4882
